#{"t_start": 1681305917.719304, "env_id": "Pendulum-v1"}
r,l,t
-1160.516728,200,0.142345
-854.361282,200,0.25299
-965.158775,200,0.365058
-1422.102098,200,0.476169
-1053.510181,200,0.599948
-882.788079,200,0.710091
-1647.079928,200,0.819574
-969.199849,200,0.930776
-944.690131,200,1.047793
-1052.1064,200,1.165132
-1683.94474,200,2.091068
-1459.850206,200,2.208867
-1150.465432,200,2.330434
-1426.862439,200,2.441034
-1673.928256,200,2.558911
-1062.087211,200,2.670347
-1300.618962,200,2.795304
-1323.581409,200,3.089478
-1466.376417,200,3.360488
-1531.337484,200,3.608504
-1738.966252,200,4.771047
-869.981796,200,4.895804
-1244.02184,200,5.008821
-824.127336,200,5.131851
-897.664165,200,5.242857
-1175.430958,200,5.355999
-1037.878826,200,5.47123
-1769.699712,200,5.583293
-1306.748811,200,5.693797
-1485.517553,200,5.804715
-1442.600719,200,6.710479
-1359.178353,200,6.823514
-966.721068,200,6.935383
-1091.863448,200,7.04705
-874.728971,200,7.158788
-994.072982,200,7.26974
-1261.98028,200,7.381038
-1553.114515,200,7.494135
-778.891593,200,7.609499
-1284.842363,200,7.734892
-1230.190953,200,8.642349
-1039.455378,200,8.754238
